"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2021","2,794.50","2,794.50","2,794.50","2,794.50","-","2.87%"
"Oct 27, 2021","2,716.50","2,716.50","2,716.50","2,716.50","-","-5.23%"
"Oct 26, 2021","2,866.50","2,866.50","2,866.50","2,866.50","-","-1.43%"
"Oct 25, 2021","2,908.00","2,908.00","2,908.00","2,908.00","-","0.01%"
"Oct 22, 2021","2,907.75","2,907.75","2,907.75","2,907.75","-","-0.95%"
"Oct 21, 2021","2,935.50","2,935.50","2,935.50","2,935.50","-","-5.57%"
"Oct 20, 2021","3,108.75","3,108.75","3,108.75","3,108.75","-","-0.94%"
"Oct 19, 2021","3,138.25","3,138.25","3,138.25","3,138.25","-","-2.01%"
"Oct 18, 2021","3,202.50","3,202.50","3,202.50","3,202.50","-","0.99%"
"Oct 15, 2021","3,171.00","3,171.00","3,171.00","3,171.00","-","1.29%"
"Oct 14, 2021","3,130.50","3,130.50","3,130.50","3,130.50","-","3.02%"
"Oct 13, 2021","3,038.75","3,038.75","3,038.75","3,038.75","-","-2.25%"
"Oct 12, 2021","3,108.75","3,108.75","3,108.75","3,108.75","-","-0.09%"
"Oct 11, 2021","3,111.50","3,111.50","3,111.50","3,111.50","-","3.33%"
"Oct 08, 2021","3,011.25","3,011.25","3,011.25","3,011.25","-","0.68%"
"Oct 07, 2021","2,991.00","2,991.00","2,991.00","2,991.00","-","1.67%"
"Oct 06, 2021","2,942.00","2,942.00","2,942.00","2,942.00","-","-0.83%"
"Oct 05, 2021","2,966.50","2,966.50","2,966.50","2,966.50","-","0.31%"
"Oct 04, 2021","2,957.25","2,957.25","2,957.25","2,957.25","-","1.90%"
"Oct 01, 2021","2,902.25","2,902.25","2,902.25","2,902.25","-","-0.03%"
"Sep 30, 2021","2,903.00","2,903.00","2,903.00","2,903.00","-","-2.10%"
"Sep 29, 2021","2,965.25","2,965.25","2,965.25","2,965.25","-","-0.30%"
"Sep 28, 2021","2,974.25","2,974.25","2,974.25","2,974.25","-","1.74%"
"Sep 27, 2021","2,923.25","2,923.25","2,923.25","2,923.25","-","-1.17%"
"Sep 24, 2021","2,958.00","2,958.00","2,958.00","2,958.00","-","-0.99%"
"Sep 23, 2021","2,987.50","2,987.50","2,987.50","2,987.50","-","0.39%"
"Sep 22, 2021","2,976.00","2,976.00","2,976.00","2,976.00","-","3.21%"
"Sep 21, 2021","2,883.50","2,883.50","2,883.50","2,883.50","-","-0.45%"
"Sep 20, 2021","2,896.50","2,896.50","2,896.50","2,896.50","-","-0.79%"
"Sep 17, 2021","2,919.50","2,919.50","2,919.50","2,919.50","-","0.05%"
"Sep 16, 2021","2,918.00","2,918.00","2,918.00","2,918.00","-","-0.35%"
"Sep 15, 2021","2,928.25","2,928.25","2,928.25","2,928.25","-","2.15%"
"Sep 14, 2021","2,866.50","2,866.50","2,866.50","2,866.50","-","-2.15%"
"Sep 13, 2021","2,929.50","2,929.50","2,929.50","2,929.50","-","-0.63%"
"Sep 10, 2021","2,948.00","2,948.00","2,948.00","2,948.00","-","2.92%"
"Sep 09, 2021","2,864.25","2,864.25","2,864.25","2,864.25","-","1.62%"
"Sep 08, 2021","2,818.50","2,818.50","2,818.50","2,818.50","-","1.10%"
"Sep 07, 2021","2,787.75","2,787.75","2,787.75","2,787.75","-","1.23%"
"Sep 03, 2021","2,753.75","2,753.75","2,753.75","2,753.75","-","1.12%"
"Sep 02, 2021","2,723.25","2,723.25","2,723.25","2,723.25","-","0.21%"
"Sep 01, 2021","2,717.50","2,717.50","2,717.50","2,717.50","-","-1.05%"
"Aug 31, 2021","2,746.25","2,746.25","2,746.25","2,746.25","-","2.74%"
"Aug 30, 2021","2,673.00","2,673.00","2,673.00","2,673.00","-","-0.26%"
"Aug 27, 2021","2,680.00","2,680.00","2,680.00","2,680.00","-","0.92%"
"Aug 26, 2021","2,655.50","2,655.50","2,655.50","2,655.50","-","0.26%"
"Aug 25, 2021","2,648.50","2,648.50","2,648.50","2,648.50","-","0.04%"
"Aug 24, 2021","2,647.50","2,647.50","2,647.50","2,647.50","-","1.05%"
"Aug 23, 2021","2,620.00","2,620.00","2,620.00","2,620.00","-","2.08%"
"Aug 20, 2021","2,566.50","2,566.50","2,566.50","2,566.50","-","0.15%"
"Aug 19, 2021","2,562.75","2,562.75","2,562.75","2,562.75","-","-0.38%"
"Aug 18, 2021","2,572.50","2,572.50","2,572.50","2,572.50","-","-1.58%"
"Aug 17, 2021","2,613.75","2,613.75","2,613.75","2,613.75","-","-0.10%"
"Aug 16, 2021","2,616.25","2,616.25","2,616.25","2,616.25","-","-0.07%"
"Aug 13, 2021","2,618.00","2,618.00","2,618.00","2,618.00","-","0.94%"
"Aug 12, 2021","2,593.50","2,593.50","2,593.50","2,593.50","-","-0.55%"
"Aug 11, 2021","2,607.75","2,607.75","2,607.75","2,607.75","-","0.42%"
"Aug 10, 2021","2,596.75","2,596.75","2,596.75","2,596.75","-","1.01%"
"Aug 09, 2021","2,570.75","2,570.75","2,570.75","2,570.75","-","-1.17%"
"Aug 06, 2021","2,601.25","2,601.25","2,601.25","2,601.25","-","-0.34%"
"Aug 05, 2021","2,610.25","2,610.25","2,610.25","2,610.25","-","0.81%"
"Aug 04, 2021","2,589.25","2,589.25","2,589.25","2,589.25","-","-0.71%"
"Aug 03, 2021","2,607.75","2,607.75","2,607.75","2,607.75","-","-1.48%"
"Aug 02, 2021","2,647.00","2,647.00","2,647.00","2,647.00","-","0.87%"
"Jul 30, 2021","2,624.25","2,624.25","2,624.25","2,624.25","-","0.13%"
"Jul 29, 2021","2,620.75","2,620.75","2,620.75","2,620.75","-","2.49%"
"Jul 28, 2021","2,557.00","2,557.00","2,557.00","2,557.00","-","1.66%"
"Jul 27, 2021","2,515.25","2,515.25","2,515.25","2,515.25","-","-1.05%"
"Jul 26, 2021","2,542.00","2,542.00","2,542.00","2,542.00","-","0.42%"
"Jul 23, 2021","2,531.25","2,531.25","2,531.25","2,531.25","-","0.90%"
"Jul 22, 2021","2,508.75","2,508.75","2,508.75","2,508.75","-","1.24%"
"Jul 21, 2021","2,478.00","2,478.00","2,478.00","2,478.00","-","-0.29%"
"Jul 20, 2021","2,485.25","2,485.25","2,485.25","2,485.25","-","1.85%"
"Jul 19, 2021","2,440.00","2,440.00","2,440.00","2,440.00","-","-2.64%"
"Jul 16, 2021","2,506.25","2,506.25","2,506.25","2,506.25","-","-1.12%"
"Jul 15, 2021","2,534.75","2,534.75","2,534.75","2,534.75","-","-0.30%"
"Jul 14, 2021","2,542.50","2,542.50","2,542.50","2,542.50","-","-0.65%"
"Jul 13, 2021","2,559.25","2,559.25","2,559.25","2,559.25","-","1.91%"
"Jul 12, 2021","2,511.25","2,511.25","2,511.25","2,511.25","-","-0.42%"
"Jul 09, 2021","2,521.75","2,521.75","2,521.75","2,521.75","-","2.22%"
"Jul 08, 2021","2,467.00","2,467.00","2,467.00","2,467.00","-","-2.26%"
"Jul 07, 2021","2,524.00","2,524.00","2,524.00","2,524.00","-","-1.25%"
"Jul 06, 2021","2,556.00","2,556.00","2,556.00","2,556.00","-","-1.15%"
"Jul 02, 2021","2,585.75","2,585.75","2,585.75","2,585.75","-","2.01%"
"Jul 01, 2021","2,534.75","2,534.75","2,534.75","2,534.75","-","-0.55%"
"Jun 30, 2021","2,548.75","2,548.75","2,548.75","2,548.75","-","-0.79%"
"Jun 29, 2021","2,569.00","2,569.00","2,569.00","2,569.00","-","2.29%"
"Jun 28, 2021","2,511.50","2,511.50","2,511.50","2,511.50","-","0.38%"
"Jun 25, 2021","2,502.00","2,502.00","2,502.00","2,502.00","-","1.96%"
"Jun 24, 2021","2,454.00","2,454.00","2,454.00","2,454.00","-","0.28%"
"Jun 23, 2021","2,447.25","2,447.25","2,447.25","2,447.25","-","0.33%"
"Jun 22, 2021","2,439.25","2,439.25","2,439.25","2,439.25","-","0.77%"
"Jun 21, 2021","2,420.50","2,420.50","2,420.50","2,420.50","-","0.78%"
"Jun 18, 2021","2,401.75","2,401.75","2,401.75","2,401.75","-","-0.75%"
"Jun 17, 2021","2,420.00","2,420.00","2,420.00","2,420.00","-","-2.74%"
"Jun 16, 2021","2,488.25","2,488.25","2,488.25","2,488.25","-","0.34%"
"Jun 15, 2021","2,479.75","2,479.75","2,479.75","2,479.75","-","-1.52%"
"Jun 14, 2021","2,518.00","2,518.00","2,518.00","2,518.00","-","1.18%"
"Jun 11, 2021","2,488.75","2,488.75","2,488.75","2,488.75","-","-0.48%"
"Jun 10, 2021","2,500.75","2,500.75","2,500.75","2,500.75","-","1.03%"
"Jun 09, 2021","2,475.25","2,475.25","2,475.25","2,475.25","-","0.18%"
"Jun 08, 2021","2,470.75","2,470.75","2,470.75","2,470.75","-","0.73%"
"Jun 07, 2021","2,452.75","2,452.75","2,452.75","2,452.75","-","-1.03%"
"Jun 04, 2021","2,478.25","2,478.25","2,478.25","2,478.25","-","2.08%"
"Jun 03, 2021","2,427.75","2,427.75","2,427.75","2,427.75","-","-1.52%"
"Jun 02, 2021","2,465.25","2,465.25","2,465.25","2,465.25","-","-1.11%"
"Jun 01, 2021","2,493.00","2,493.00","2,493.00","2,493.00","-","-1.05%"
"May 28, 2021","2,519.50","2,519.50","2,519.50","2,519.50","-","0.73%"
"May 27, 2021","2,501.25","2,501.25","2,501.25","2,501.25","-","3.17%"
"May 26, 2021","2,424.50","2,424.50","2,424.50","2,424.50","-","1.30%"
"May 25, 2021","2,393.50","2,393.50","2,393.50","2,393.50","-","-0.54%"
"May 24, 2021","2,406.50","2,406.50","2,406.50","2,406.50","-","0.75%"
"May 21, 2021","2,388.50","2,388.50","2,388.50","2,388.50","-","-1.48%"
"May 20, 2021","2,424.50","2,424.50","2,424.50","2,424.50","-","-0.42%"
"May 19, 2021","2,434.75","2,434.75","2,434.75","2,434.75","-","-2.60%"
"May 18, 2021","2,499.75","2,499.75","2,499.75","2,499.75","-","-1.03%"
"May 17, 2021","2,525.75","2,525.75","2,525.75","2,525.75","-","2.02%"
"May 14, 2021","2,475.75","2,475.75","2,475.75","2,475.75","-","0.05%"
"May 13, 2021","2,474.50","2,474.50","2,474.50","2,474.50","-","-1.56%"
"May 12, 2021","2,513.75","2,513.75","2,513.75","2,513.75","-","-1.14%"
"May 11, 2021","2,542.75","2,542.75","2,542.75","2,542.75","-","-0.25%"
"May 10, 2021","2,549.00","2,549.00","2,549.00","2,549.00","-","-0.24%"
"May 07, 2021","2,555.25","2,555.25","2,555.25","2,555.25","-","2.02%"
"May 06, 2021","2,504.75","2,504.75","2,504.75","2,504.75","-","1.95%"
"May 05, 2021","2,456.75","2,456.75","2,456.75","2,456.75","-","0.85%"
"May 04, 2021","2,436.00","2,436.00","2,436.00","2,436.00","-","0.95%"
"May 03, 2021","2,413.00","2,413.00","2,413.00","2,413.00","-","0.00%"
"Apr 30, 2021","2,413.00","2,413.00","2,413.00","2,413.00","-","-0.25%"
"Apr 29, 2021","2,419.00","2,419.00","2,419.00","2,419.00","-","0.92%"
"Apr 28, 2021","2,397.00","2,397.00","2,397.00","2,397.00","-","-0.04%"
"Apr 27, 2021","2,398.00","2,398.00","2,398.00","2,398.00","-","-0.34%"
"Apr 26, 2021","2,406.25","2,406.25","2,406.25","2,406.25","-","1.42%"
"Apr 23, 2021","2,372.50","2,372.50","2,372.50","2,372.50","-","0.19%"
"Apr 22, 2021","2,368.00","2,368.00","2,368.00","2,368.00","-","-0.39%"
"Apr 21, 2021","2,377.25","2,377.25","2,377.25","2,377.25","-","2.46%"
"Apr 20, 2021","2,320.25","2,320.25","2,320.25","2,320.25","-","-0.88%"
"Apr 19, 2021","2,340.75","2,340.75","2,340.75","2,340.75","-","0.57%"
"Apr 16, 2021","2,327.50","2,327.50","2,327.50","2,327.50","-","-0.84%"
"Apr 15, 2021","2,347.25","2,347.25","2,347.25","2,347.25","-","0.46%"
"Apr 14, 2021","2,336.50","2,336.50","2,336.50","2,336.50","-","1.39%"
"Apr 13, 2021","2,304.50","2,304.50","2,304.50","2,304.50","-","1.52%"
"Apr 12, 2021","2,270.00","2,270.00","2,270.00","2,270.00","-","0.14%"
"Apr 09, 2021","2,266.75","2,266.75","2,266.75","2,266.75","-","-1.04%"
"Apr 08, 2021","2,290.50","2,290.50","2,290.50","2,290.50","-","1.07%"
"Apr 07, 2021","2,266.25","2,266.25","2,266.25","2,266.25","-","-0.33%"
"Apr 06, 2021","2,273.75","2,273.75","2,273.75","2,273.75","-","1.76%"
"Apr 05, 2021","2,234.50","2,234.50","2,234.50","2,234.50","-","0.00%"
"Apr 01, 2021","2,234.50","2,234.50","2,234.50","2,234.50","-","0.88%"
"Mar 31, 2021","2,215.00","2,215.00","2,215.00","2,215.00","-","-0.99%"
"Mar 30, 2021","2,237.25","2,237.25","2,237.25","2,237.25","-","-1.78%"
"Mar 29, 2021","2,277.75","2,277.75","2,277.75","2,277.75","-","-0.78%"
"Mar 26, 2021","2,295.75","2,295.75","2,295.75","2,295.75","-","2.16%"
"Mar 25, 2021","2,247.25","2,247.25","2,247.25","2,247.25","-","-0.06%"
"Mar 24, 2021","2,248.50","2,248.50","2,248.50","2,248.50","-","0.38%"
"Mar 23, 2021","2,240.00","2,240.00","2,240.00","2,240.00","-","-1.90%"
"Mar 22, 2021","2,283.50","2,283.50","2,283.50","2,283.50","-","1.21%"
"Mar 19, 2021","2,256.25","2,256.25","2,256.25","2,256.25","-","1.06%"
"Mar 18, 2021","2,232.50","2,232.50","2,232.50","2,232.50","-","-0.76%"
"Mar 17, 2021","2,249.50","2,249.50","2,249.50","2,249.50","-","1.72%"
"Mar 16, 2021","2,211.50","2,211.50","2,211.50","2,211.50","-","-0.99%"
"Mar 15, 2021","2,233.50","2,233.50","2,233.50","2,233.50","-","2.10%"
"Mar 12, 2021","2,187.50","2,187.50","2,187.50","2,187.50","-","-0.38%"
"Mar 11, 2021","2,195.75","2,195.75","2,195.75","2,195.75","-","0.39%"
"Mar 10, 2021","2,187.25","2,187.25","2,187.25","2,187.25","-","0.10%"
"Mar 09, 2021","2,185.00","2,185.00","2,185.00","2,185.00","-","-0.25%"
"Mar 08, 2021","2,190.50","2,190.50","2,190.50","2,190.50","-","-0.19%"
"Mar 05, 2021","2,194.75","2,194.75","2,194.75","2,194.75","-","0.40%"
"Mar 04, 2021","2,186.00","2,186.00","2,186.00","2,186.00","-","-1.58%"
"Mar 03, 2021","2,221.00","2,221.00","2,221.00","2,221.00","-","-0.46%"
"Mar 02, 2021","2,231.25","2,231.25","2,231.25","2,231.25","-","3.96%"
"Mar 01, 2021","2,146.25","2,146.25","2,146.25","2,146.25","-","-1.66%"
"Feb 26, 2021","2,182.50","2,182.50","2,182.50","2,182.50","-","-3.14%"
"Feb 25, 2021","2,253.25","2,253.25","2,253.25","2,253.25","-","2.90%"
"Feb 24, 2021","2,189.75","2,189.75","2,189.75","2,189.75","-","1.55%"
"Feb 23, 2021","2,156.25","2,156.25","2,156.25","2,156.25","-","-0.50%"
"Feb 22, 2021","2,167.00","2,167.00","2,167.00","2,167.00","-","1.64%"
"Feb 19, 2021","2,132.00","2,132.00","2,132.00","2,132.00","-","-0.44%"
"Feb 18, 2021","2,141.50","2,141.50","2,141.50","2,141.50","-","1.19%"
"Feb 17, 2021","2,116.25","2,116.25","2,116.25","2,116.25","-","1.60%"
"Feb 16, 2021","2,083.00","2,083.00","2,083.00","2,083.00","-","-0.42%"
"Feb 12, 2021","2,091.75","2,091.75","2,091.75","2,091.75","-","0.37%"
"Feb 11, 2021","2,084.00","2,084.00","2,084.00","2,084.00","-","0.16%"
"Feb 10, 2021","2,080.75","2,080.75","2,080.75","2,080.75","-","0.84%"
