"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2021","1,805.00","1,795.50","1,807.30","1,795.50","0.36K","0.39%"
"Oct 27, 2021","1,797.90","1,791.50","1,795.00","1,791.50","0.21K","0.29%"
"Oct 26, 2021","1,792.70","1,808.80","1,808.80","1,788.60","0.36K","-0.89%"
"Oct 25, 2021","1,808.80","1,794.30","1,809.00","1,794.00","0.00K","0.74%"
"Oct 22, 2021","1,795.50","1,787.10","1,806.90","1,784.00","0.53K","0.80%"
"Oct 21, 2021","1,781.20","1,782.00","1,785.70","1,781.00","0.15K","-0.16%"
"Oct 20, 2021","1,784.10","1,774.60","1,785.60","1,774.00","0.13K","0.81%"
"Oct 19, 2021","1,769.70","1,777.60","1,785.00","1,767.50","0.05K","0.28%"
"Oct 18, 2021","1,764.80","1,761.60","1,770.10","1,759.50","0.27K","-0.14%"
"Oct 15, 2021","1,767.20","1,794.50","1,795.40","1,766.60","0.87K","-1.64%"
"Oct 14, 2021","1,796.70","1,792.20","1,799.90","1,792.00","0.34K","0.17%"
"Oct 13, 2021","1,793.70","1,760.80","1,794.50","1,760.80","0.15K","2.01%"
"Oct 12, 2021","1,758.30","1,751.90","1,768.00","1,749.80","0.14K","0.21%"
"Oct 11, 2021","1,754.60","1,756.60","1,757.80","1,752.20","0.13K","-0.10%"
"Oct 08, 2021","1,756.30","1,757.00","1,780.00","1,754.20","0.25K","-0.09%"
"Oct 07, 2021","1,757.90","1,762.40","1,762.40","1,752.80","0.34K","-0.15%"
"Oct 06, 2021","1,760.50","1,759.30","1,762.90","1,744.70","0.06K","0.05%"
"Oct 05, 2021","1,759.60","1,764.30","1,764.30","1,749.00","0.10K","-0.37%"
"Oct 04, 2021","1,766.20","1,764.50","1,768.90","1,749.50","0.42K","0.52%"
"Oct 01, 2021","1,757.00","1,754.30","1,762.60","1,748.50","2.22K","0.10%"
"Sep 30, 2021","1,755.30","1,725.50","1,760.30","1,724.50","1.00K","1.96%"
"Sep 29, 2021","1,721.50","1,732.40","1,744.10","1,721.40","6.63K","-0.82%"
"Sep 28, 2021","1,735.80","1,739.60","1,741.70","1,726.80","0.63K","-0.81%"
"Sep 27, 2021","1,750.00","1,751.70","1,754.40","1,747.50","0.81K","0.02%"
"Sep 24, 2021","1,749.70","1,745.00","1,745.00","1,745.00","0.08K","0.11%"
"Sep 23, 2021","1,747.70","1,766.80","1,766.80","1,738.20","0.03K","-1.63%"
"Sep 22, 2021","1,776.70","1,781.00","1,784.30","1,767.00","0.02K","0.04%"
"Sep 21, 2021","1,776.00","1,762.20","1,770.50","1,759.00","0.11K","0.81%"
"Sep 20, 2021","1,761.80","1,751.80","1,761.10","1,750.90","0.19K","0.71%"
"Sep 17, 2021","1,749.40","1,758.80","1,763.00","1,750.00","0.58K","-0.30%"
"Sep 16, 2021","1,754.60","1,792.90","1,792.90","1,743.90","1.65K","-2.11%"
"Sep 15, 2021","1,792.40","1,803.70","1,803.70","1,792.40","0.06K","-0.68%"
"Sep 14, 2021","1,804.70","1,791.40","1,806.20","1,783.00","0.76K","0.71%"
"Sep 13, 2021","1,792.00","1,789.80","1,796.00","1,784.00","0.53K","0.13%"
"Sep 10, 2021","1,789.60","1,789.60","1,789.60","1,789.60","-","-0.43%"
"Sep 09, 2021","1,797.40","1,798.70","1,798.70","1,787.90","0.05K","0.37%"
"Sep 08, 2021","1,790.70","1,781.70","1,788.40","1,781.70","0.07K","-0.29%"
"Sep 07, 2021","1,795.90","1,825.70","1,825.70","1,792.70","0.05K","-1.91%"
"Sep 03, 2021","1,830.90","1,820.90","1,833.90","1,818.90","0.05K","1.23%"
"Sep 02, 2021","1,808.70","1,813.20","1,813.90","1,806.80","0.03K","-0.24%"
"Sep 01, 2021","1,813.10","1,813.50","1,815.90","1,809.50","0.11K","-0.10%"
"Aug 31, 2021","1,815.00","1,815.90","1,815.90","1,801.10","0.08K","0.33%"
"Aug 30, 2021","1,809.00","1,818.20","1,820.30","1,807.80","0.68K","-0.42%"
"Aug 27, 2021","1,816.60","1,803.40","1,803.50","1,803.10","0.01K","1.36%"
"Aug 26, 2021","1,792.20","1,787.40","1,790.80","1,781.00","0.06K","0.22%"
"Aug 25, 2021","1,788.20","1,792.00","1,792.90","1,784.00","0.81K","-0.96%"
"Aug 24, 2021","1,805.60","1,801.00","1,805.20","1,801.00","0.02K","0.13%"
"Aug 23, 2021","1,803.20","1,776.80","1,804.80","1,776.80","0.03K","1.25%"
"Aug 20, 2021","1,781.00","1,784.10","1,787.50","1,778.20","0.24K","0.04%"
"Aug 19, 2021","1,780.20","1,780.00","1,789.30","1,775.50","0.25K","-0.08%"
"Aug 18, 2021","1,781.60","1,787.80","1,791.50","1,779.00","0.26K","-0.19%"
"Aug 17, 2021","1,785.00","1,787.70","1,794.20","1,780.00","0.20K","-0.11%"
"Aug 16, 2021","1,786.90","1,776.90","1,787.80","1,771.90","0.22K","0.66%"
"Aug 13, 2021","1,775.20","1,758.30","1,777.30","1,757.40","0.44K","1.50%"
"Aug 12, 2021","1,749.00","1,749.70","1,752.40","1,745.50","0.74K","-0.08%"
"Aug 11, 2021","1,750.40","1,727.30","1,752.20","1,727.30","0.54K","1.25%"
"Aug 10, 2021","1,728.80","1,728.60","1,735.20","1,720.10","1.36K","0.31%"
"Aug 09, 2021","1,723.40","1,753.50","1,753.80","1,692.60","1.62K","-2.08%"
"Aug 06, 2021","1,760.00","1,799.80","1,800.10","1,758.40","0.86K","-2.50%"
"Aug 05, 2021","1,805.10","1,810.80","1,813.70","1,796.00","0.59K","-0.30%"
"Aug 04, 2021","1,810.50","1,809.30","1,831.30","1,806.30","2.86K","0.02%"
"Aug 03, 2021","1,810.10","1,812.30","1,813.50","1,806.00","3.34K","-0.44%"
"Aug 02, 2021","1,818.10","1,812.40","1,818.70","1,804.80","1.33K","0.30%"
"Jul 30, 2021","1,812.60","1,828.00","1,830.50","1,808.90","3.10K","-1.02%"
"Jul 29, 2021","1,831.20","1,806.60","1,832.60","1,806.10","30.50K","1.76%"
"Jul 28, 2021","1,799.50","1,799.50","1,799.50","1,799.50","0.01K","0.00%"
"Jul 27, 2021","1,799.50","1,803.70","1,803.70","1,803.70","0.00K","0.04%"
"Jul 26, 2021","1,798.70","1,802.50","1,802.50","1,797.20","0.02K","-0.15%"
"Jul 23, 2021","1,801.40","1,800.00","1,800.00","1,800.00","0.00K","-0.20%"
"Jul 22, 2021","1,805.00","1,793.60","1,793.60","1,793.60","0.00K","0.12%"
"Jul 21, 2021","1,802.90","1,807.00","1,807.00","1,800.00","0.14K","-0.44%"
"Jul 20, 2021","1,810.90","1,812.90","1,824.00","1,812.90","0.13K","0.12%"
"Jul 19, 2021","1,808.70","1,803.30","1,813.40","1,803.30","0.03K","-0.32%"
"Jul 16, 2021","1,814.50","1,830.10","1,831.40","1,815.60","0.08K","-0.76%"
"Jul 15, 2021","1,828.40","1,831.60","1,833.00","1,823.40","0.10K","0.22%"
"Jul 14, 2021","1,824.30","1,813.10","1,829.00","1,813.10","0.71K","0.82%"
"Jul 13, 2021","1,809.40","1,808.10","1,812.00","1,800.60","0.08K","0.22%"
